name,name_lc,wikidata,start_date,term,gender
MARCOLIN Marco,marcolin marco,Q16575878,2016-10-13,17,male
MARCON Giulio,marcon giulio,Q7217712,2013-03-15,17,male
MARGUERETTAZ Rudi Franco,marguerettaz rudi franco,Q6403136,2015-04-01,17,male
MARIANI Raffaella,mariani raffaella,Q3929221,2013-03-15,17,female
MARIANO Elisa,mariano elisa,Q16551696,2013-03-15,17,female
MAROTTA Antonio,marotta antonio,Q16527648,2015-06-25,17,male
MARROCU Siro,marrocu siro,Q15624743,2013-03-15,17,male
MARRONI Umberto,marroni umberto,Q15701447,2013-03-15,17,male
MARTELLA Andrea,martella andrea,Q3615834,2013-03-15,17,male
MARTELLI Giovanna,martelli giovanna,Q15888328,2016-02-22,17,female
MARTI Roberto,marti roberto,Q15479523,2015-11-19,17,male
MARTINELLI Marco,martinelli marco,Q15141218,2013-03-15,17,male
MARTINO Antonio,martino antonio,Q603390,2013-03-15,17,male
MARTINO Pierdomenico,martino pierdomenico,Q3903004,2013-03-15,17,male
MARZANA Maria,marzana maria,Q15143093,2013-03-15,17,female
MARZANO Michela,marzano michela,Q3311251,2016-05-11,17,female
MASSA Federico,massa federico,Q17403952,2014-07-09,17,male
MATARRELLI Toni,matarrelli toni,Q15654471,2015-05-04,17,male
MATARRESE Salvatore,matarrese salvatore,Q15585150,2013-03-15,17,male
MATTIELLO Davide,mattiello davide,Q16548835,2013-03-15,17,male
MAURI Matteo,mauri matteo,Q16577132,2013-03-15,17,male
MAZZIOTTI DI CELSO Andrea,mazziotti di celso andrea,Q16526349,2013-03-15,17,male
MAZZOLI Alessandro,mazzoli alessandro,Q3610136,2013-03-15,17,male
MELILLA Gianni,melilla gianni,Q15917333,2013-03-15,17,male
MELILLI Fabio,melilli fabio,Q3737781,2013-03-15,17,male
MELONI Giorgia,meloni giorgia,Q451791,2013-04-03,17,female
MELONI Marco,meloni marco,Q16575890,2013-03-15,17,male
MENORELLO Domenico,menorello domenico,Q27078218,2016-09-30,17,male
MERLO Ricardo Antonio,merlo ricardo antonio,Q3934279,2016-10-13,17,male
META Michele Pompeo,meta michele pompeo,Q15212457,2013-03-15,17,male
MICCOLI Marco,miccoli marco,Q15141225,2013-03-15,17,male
MICILLO Salvatore,micillo salvatore,Q15585159,2013-03-15,17,male
MIGLIORE Gennaro,migliore gennaro,Q3759822,2014-11-17,17,male
MILANATO Lorena,milanato lorena,Q3836834,2013-03-15,17,female
MINARDO Antonino,minardo antonino,Q3619095,2013-11-18,17,male
MINNUCCI Emiliano,minnucci emiliano,Q17406685,2013-03-15,17,male
MINNUCCI Emiliano,minnucci emiliano,Q17406685,2014-06-25,17,male
MIOTTO Anna Margherita,miotto anna margherita,Q16526948,2013-03-15,17,female
MISIANI Antonio,misiani antonio,Q3619905,2013-03-15,17,male
MISURACA Dore,misuraca dore,Q16550545,2013-11-18,17,male
MOGNATO Michele,mognato michele,Q16578279,2013-03-15,17,male
MOLEA Bruno,molea bruno,Q16533928,2013-03-15,17,male
MOLTENI Nicola,molteni nicola,Q15269634,2013-03-15,17,male
MONACO Francesco,monaco francesco,Q3751437,2013-03-15,17,male
MONCHIERO Giovanni,monchiero giovanni,Q16560068,2013-03-15,17,male
MONGIELLO Colomba,mongiello colomba,Q3683396,2013-03-15,17,female
MONTRONI Daniele,montroni daniele,Q15972643,2013-03-15,17,male
MORANI Alessia,morani alessia,Q16525255,2013-03-15,17,female
MORASSUT Roberto,morassut roberto,Q3938986,2013-03-15,17,male
MORETTO Sara,moretto sara,Q15609783,2013-03-15,17,female
MOSCATT Antonino,moscatt antonino,Q15654504,2013-03-15,17,male
MOTTOLA Giovanni Carlo Francesco,mottola giovanni carlo francesco,Q16560074,2016-10-13,17,male
MUCCI Mara,mucci mara,Q15138337,2016-10-28,17,female
MURA Romina,mura romina,Q15535221,2013-03-15,17,female
MURER Delia,murer delia,Q15964456,2013-03-15,17,female
MURGIA Bruno,murgia bruno,Q3645852,2016-12-29,17,male
NACCARATO Alessandro,naccarato alessandro,Q3610164,2013-03-15,17,male
NARDI Martina,nardi martina,Q16576735,2014-11-17,17,female
NARDUOLO Giulia,narduolo giulia,Q16560407,2013-03-15,17,female
NASTRI Gaetano,nastri gaetano,Q7000506,2013-04-03,17,male
NESCI Dalila,nesci dalila,Q15972636,2013-03-15,17,female
NESI Edoardo,nesi edoardo,Q540403,2013-11-19,17,male
NICCHI Marisa,nicchi marisa,Q15144796,2013-03-15,17,female
NICOLETTI Michele,nicoletti michele,Q5561197,2013-03-15,17,male
NUTI Riccardo,nuti riccardo,Q13427077,2013-03-15,17,male
OCCHIUTO Roberto,occhiuto roberto,Q3939013,2014-06-25,17,male
OLIARO Roberta,oliaro roberta,Q16597116,2013-03-15,17,female
OLIVERIO Nicodemo Nazzareno,oliverio nicodemo nazzareno,Q3876096,2013-03-15,17,male
ORFINI Matteo,orfini matteo,Q8262071,2013-03-15,17,male
ORLANDO Andrea,orlando andrea,Q3615909,2013-03-15,17,male
OTTOBRE Mauro,ottobre mauro,Q15111865,2013-03-21,17,male
PAGANI Alberto,pagani alberto,Q16268593,2013-03-15,17,male
PAGANO Alessandro,pagano alessandro,Q3610182,2016-10-18,17,male
PAGLIA Giovanni,paglia giovanni,Q16268594,2013-03-15,17,male
PALAZZOTTO Erasmo,palazzotto erasmo,Q16554147,2013-03-15,17,male
PALESE Rocco,palese rocco,Q3939589,2015-11-19,17,male
PALLADINO Giovanni,palladino giovanni,Q23017918,2015-07-27,17,male
PALMA Giovanna,palma giovanna,Q15888338,2013-03-15,17,female
PALMIERI Antonio,palmieri antonio,Q3619995,2013-03-15,17,male
PALMIZIO Elio Massimo,palmizio elio massimo,Q3723060,2013-03-15,17,male
PANNARALE Annalisa,pannarale annalisa,Q16658089,2013-03-15,17,female
PARENTELA Paolo,parentela paolo,Q15300732,2013-03-15,17,male
PARIS Valentina,paris valentina,Q15708574,2013-03-15,17,female
PARISI Massimo,parisi massimo,Q3851390,2016-10-13,17,male
PARRINI Dario,parrini dario,Q15972723,2013-03-15,17,male
PASTORELLI Oreste,pastorelli oreste,Q15290569,2013-06-11,17,male
PASTORINO Luca,pastorino luca,Q16573877,2015-11-17,17,male
PATRIARCA Edoardo,patriarca edoardo,Q16551329,2013-03-15,17,male
PELILLO Michele,pelillo michele,Q15212443,2013-03-15,17,male
PELLEGRINO Serena,pellegrino serena,Q15622158,2013-03-15,17,female
PELUFFO Vinicio Giuseppe Guido,peluffo vinicio giuseppe guido,Q4013688,2013-03-15,17,male
PES Caterina,pes caterina,Q3663522,2013-03-15,17,female
PESCO Daniele,pesco daniele,Q15972644,2013-03-15,17,male
PETRAROLI Cosimo,petraroli cosimo,Q15975935,2013-03-15,17,male
PETRENGA Giovanna,petrenga giovanna,Q3766264,2016-02-02,17,female
PETRINI Paolo,petrini paolo,Q15300740,2013-03-15,17,male
PIAZZONI Ileana Cathia,piazzoni ileana cathia,Q16565332,2014-11-17,17,female
PICCHI Guglielmo,picchi guglielmo,Q3778992,2016-03-16,17,male
PICCIONE Teresa,piccione teresa,Q15641434,2013-03-15,17,female
PICCOLI NARDELLI Flavia,piccoli nardelli flavia,Q15931520,2013-03-15,17,female
PICCOLO Giorgio,piccolo giorgio,Q15888313,2013-03-15,17,male
PICCOLO Salvatore,piccolo salvatore,Q15585187,2013-03-15,17,male
PICCONE Filippo,piccone filippo,Q3745295,2013-11-18,17,male
PIEPOLI Gaetano,piepoli gaetano,Q15844746,2013-12-10,17,male
PILI Mauro,pili mauro,Q3301763,2013-10-02,17,male
PILOZZI Nazzareno,pilozzi nazzareno,Q16581753,2014-11-17,17,male
PINI Gianluca,pini gianluca,Q3763282,2013-03-15,17,male
PINI Giuditta,pini giuditta,Q16268654,2013-03-15,17,female
PINNA Paola,pinna paola,Q16586786,2016-02-04,17,female
PIRAS Michele,piras michele,Q3856756,2013-03-15,17,male
PISANO Girolamo,pisano girolamo,Q16560345,2013-03-15,17,male
PISICCHIO Pino,pisicchio pino,Q3388783,2014-06-27,17,male
PISO Vincenzo,piso vincenzo,Q15711036,2015-12-01,17,male
PIZZOLANTE Sergio,pizzolante sergio,Q16601770,2013-11-18,17,male
PLACIDO Antonio,placido antonio,Q16527711,2013-03-15,17,male
PLANGGER Albrecht,plangger albrecht,Q5853391,2013-03-21,17,male
POLIDORI Catia,polidori catia,Q1051169,2013-03-15,17,female
POLLASTRINI Barbara,pollastrini barbara,Q1071082,2013-03-15,17,female
POLVERINI Renata,polverini renata,Q459645,2013-03-15,17,female
PORTA Fabio,porta fabio,Q10279154,2013-03-15,17,male
PORTAS Giacomo Antonio,portas giacomo antonio,Q3762237,2013-03-15,17,male
PRATAVIERA Emanuele,prataviera emanuele,Q15944973,2016-04-11,17,male
PRESTIGIACOMO Stefania,prestigiacomo stefania,Q466489,2013-03-15,17,female
PREZIOSI Ernesto,preziosi ernesto,Q16554359,2013-03-15,17,male
PRINA Francesco,prina francesco,Q17285353,2014-06-25,17,male
PRODANI Aris,prodani aris,Q16528352,2015-11-17,17,male
QUARANTA Stefano,quaranta stefano,Q16610328,2013-03-15,17,male
QUARTAPELLE PROCOPIO Lia,quartapelle procopio lia,Q16572359,2013-03-15,17,female
QUINTARELLI Giuseppe Stefano,quintarelli giuseppe stefano,Q3972669,2016-08-03,17,male
RABINO Mariano,rabino mariano,Q15144078,2016-10-13,17,male
RACITI Fausto,raciti fausto,Q3740400,2013-03-15,17,male
RAGOSTA Michele,ragosta michele,Q16578303,2014-06-19,17,male
RAMPELLI Fabio,rampelli fabio,Q15936503,2013-04-03,17,male
RAMPI Roberto,rampi roberto,Q15479551,2013-03-15,17,male
RAVETTO Laura,ravetto laura,Q3827834,2013-03-15,17,female
REALACCI Ermete,realacci ermete,Q3732005,2013-03-15,17,male
RIBAUDO Francesco,ribaudo francesco,Q15796620,2013-03-15,17,male
RICCIATTI Lara,ricciatti lara,Q16571193,2013-03-15,17,female
RICHETTI Matteo,richetti matteo,Q8218823,2013-03-15,17,male
RIGONI Andrea,rigoni andrea,Q16526380,2013-03-15,17,male
RIZZETTO Walter,rizzetto walter,Q16622997,2016-03-22,17,male
RIZZO Gianluca,rizzo gianluca,Q15888149,2013-03-15,17,male
ROCCELLA Eugenia,roccella eugenia,Q3059585,2015-12-01,17,female
ROCCHI Maria Grazia,rocchi maria grazia,Q15143077,2013-03-15,17,female
ROMANINI Giuseppe,romanini giuseppe,Q17414412,2014-06-25,17,male
ROMANO Andrea,romano andrea,Q3616000,2014-11-12,17,male
ROMANO Francesco Saverio,romano francesco saverio,Q3081082,2016-10-13,17,male
ROMANO Paolo Nicolo',romano paolo nicolo',Q16586911,2013-03-15,17,male
ROMELE Giuseppe,romele giuseppe,Q3771342,2013-03-15,17,male
RONDINI Marco,rondini marco,Q16575917,2013-03-15,17,male
ROSATO Ettore,rosato ettore,Q3733994,2013-03-15,17,male
ROSSI Domenico,rossi domenico,Q15958431,2013-12-10,17,male
ROSSI Paolo,rossi paolo,Q3894431,2014-06-25,17,male
ROSSOMANDO Anna,rossomando anna,Q16526978,2013-03-15,17,female
ROSTAN Michela,rostan michela,Q15208531,2013-03-15,17,female
ROSTELLATO Gessica,rostellato gessica,Q15917176,2015-04-30,17,female
ROTONDI Gianfranco,rotondi gianfranco,Q2053904,2013-03-15,17,male
ROTTA Alessia,rotta alessia,Q16525258,2013-03-15,17,female
RUBINATO Simonetta,rubinato simonetta,Q3961298,2013-03-15,17,female
RUGHETTI Angelo,rughetti angelo,Q16526760,2013-03-15,17,male
RUOCCO Carla,ruocco carla,Q16658124,2013-03-15,17,female
RUSSO Paolo,russo paolo,Q3894445,2013-03-15,17,male
SALTAMARTINI Barbara,saltamartini barbara,Q3634682,2015-03-31,17,female
SAMMARCO Gianfranco,sammarco gianfranco,Q3763148,2013-11-18,17,male
SANGA Giovanni,sanga giovanni,Q16560169,2013-03-15,17,male
SANI Luca,sani luca,Q15117588,2013-03-15,17,male
SANNA Francesco,sanna francesco,Q3750589,2013-03-15,17,male
SANNA Giovanna,sanna giovanna,Q16559693,2013-03-15,17,female
SANNICANDRO Arcangelo,sannicandro arcangelo,Q16528037,2013-04-17,17,male
SANTELLI Jole,santelli jole,Q3809798,2013-03-15,17,female
SANTERINI Milena,santerini milena,Q16578527,2013-12-10,17,female
SARRO Carlo,sarro carlo,Q3659832,2013-03-15,17,male
SARTI Giulia,sarti giulia,Q16268745,2013-03-15,17,female
SAVINO Elvira,savino elvira,Q3723755,2013-03-15,17,female
SAVINO Sandra,savino sandra,Q16600140,2013-03-15,17,female
SBERNA Mario,sberna mario,Q15144734,2013-12-10,17,male
SBROLLINI Daniela,sbrollini daniela,Q15972640,2013-03-15,17,female
SCAGLIUSI Emanuele,scagliusi emanuele,Q15632664,2013-03-15,17,male
SCALFAROTTO Ivan,scalfarotto ivan,Q3804765,2013-03-15,17,male
SCANU Gian Piero,scanu gian piero,Q3762746,2013-03-15,17,male
SCHIRO' Gea,schiro' gea,Q16558576,2014-10-02,17,female
SCHULLIAN Manfred,schullian manfred,Q6444943,2013-03-21,17,male
SCOPELLITI Rosanna,scopelliti rosanna,Q15535578,2013-11-18,17,female
SCOTTO Arturo,scotto arturo,Q3624592,2013-03-15,17,male
SCUVERA Chiara,scuvera chiara,Q16539654,2013-03-15,17,female
SECCO Dino,secco dino,Q23931137,2016-04-28,17,male
SEGONI Samuele,segoni samuele,Q15588759,2015-02-05,17,male
SENALDI Angelo,senaldi angelo,Q16526791,2013-03-15,17,male
SERENI Marina,sereni marina,Q3848080,2013-03-15,17,female
SGAMBATO Camilla,sgambato camilla,Q17329035,2014-06-25,17,female
SIBILIA Carlo,sibilia carlo,Q16537147,2013-03-15,17,male
SIMONETTI Roberto,simonetti roberto,Q3939167,2014-06-25,17,male
SIMONI Elisa,simoni elisa,Q16551704,2013-03-15,17,female
SISTO Francesco Paolo,sisto francesco paolo,Q15791380,2013-03-15,17,male
SORIAL Girgis Giorgio,sorial girgis giorgio,Q16560248,2013-03-15,17,male
SOTTANELLI Giulio Cesare,sottanelli giulio cesare,Q16560506,2016-10-13,17,male
SPADONI Maria Edera,spadoni maria edera,Q15142831,2013-03-15,17,female
SPERANZA Roberto,speranza roberto,Q8220404,2013-03-15,17,male
SPESSOTTO Arianna,spessotto arianna,Q16528320,2013-03-15,17,female
SQUERI Luca,squeri luca,Q16573900,2013-03-15,17,male
STUMPO Nicola,stumpo nicola,Q10751623,2013-03-15,17,male
TABACCI Bruno,tabacci bruno,Q1074619,2014-11-19,17,male
TACCONI Alessio,tacconi alessio,Q16525272,2015-04-13,17,male
TAGLIALATELA Marcello,taglialatela marcello,Q3845695,2013-04-03,17,male
TANCREDI Paolo,tancredi paolo,Q3894506,2013-11-18,17,male
TARANTO Luigi,taranto luigi,Q15120218,2013-03-15,17,male
TARICCO Mino,taricco mino,Q16578742,2013-03-15,17,male
TARTAGLIONE Assunta,tartaglione assunta,Q16529384,2013-03-15,17,female
TENTORI Veronica,tentori veronica,Q15710993,2013-03-15,17,female
TERROSI Alessandra,terrosi alessandra,Q15055616,2013-03-15,17,female
TERZONI Patrizia,terzoni patrizia,Q15303870,2013-03-15,17,female
TIDEI Marietta,tidei marietta,Q13433334,2013-03-15,17,female
TINAGLI Irene,tinagli irene,Q3801917,2015-02-18,17,female
TOFALO Angelo,tofalo angelo,Q16526805,2013-03-15,17,male
TONINELLI Danilo,toninelli danilo,Q15972657,2013-03-15,17,male
TOTARO Achille,totaro achille,Q3604430,2013-04-03,17,male
TRIPIEDI Davide,tripiedi davide,Q7913836,2013-03-15,17,male
TULLO Mario,tullo mario,Q3849194,2013-03-15,17,male
TURCO Tancredi,turco tancredi,Q16612198,2015-02-05,17,male
VACCA Gianluca,vacca gianluca,Q15888154,2013-03-15,17,male
VACCARO Guglielmo,vaccaro guglielmo,Q3779040,2015-11-30,17,male
VALENTE Simone,valente simone,Q15623388,2013-03-15,17,male
VALENTE Valeria,valente valeria,Q15708588,2013-03-15,17,female
VALENTINI Valentino,valentini valentino,Q4007770,2013-03-15,17,male
VALIANTE Simone,valiante simone,Q16606386,2013-03-15,17,male
VALLASCAS Andrea,vallascas andrea,Q8047248,2013-03-15,17,male
VARGIU Pierpaolo,vargiu pierpaolo,Q15402999,2013-03-15,17,male
VAZIO Franco,vazio franco,Q15796702,2013-03-15,17,male
VECCHIO Andrea,vecchio andrea,Q16526416,2016-09-28,17,male
VELLA Paolo,vella paolo,Q15303101,2013-03-15,17,male
VELO Silvia,velo silvia,Q15623368,2013-03-15,17,female
VENITTELLI Laura,venittelli laura,Q16571337,2013-03-15,17,female
VENTRICELLI Liliana,ventricelli liliana,Q15111871,2013-03-15,17,female
VERINI Walter,verini walter,Q15727026,2013-03-15,17,male
VEZZALI Maria Valentina,vezzali maria valentina,Q229967,2016-10-13,17,female
VICO Ludovico,vico ludovico,Q16574106,2015-03-18,17,male
VIGNALI Raffaello,vignali raffaello,Q3929279,2013-11-18,17,male
VIGNAROLI Stefano,vignaroli stefano,Q15632225,2013-03-15,17,male
VILLAROSA Alessio Mattia,villarosa alessio mattia,Q16525278,2013-03-15,17,male
VILLECCO CALIPARI Rosa Maria,villecco calipari rosa maria,Q3941254,2013-03-15,17,female
VITO Elio,vito elio,Q1079940,2013-03-15,17,male
ZACCAGNINI Adriano,zaccagnini adriano,Q14527444,2016-09-13,17,male
ZAMPA Sandra,zampa sandra,Q3948177,2013-03-15,17,female
ZAN Alessandro,zan alessandro,Q2595856,2014-11-17,17,male
ZANETTI Enrico,zanetti enrico,Q16552184,2016-10-13,17,male
ZANIN Giorgio,zanin giorgio,Q16559606,2013-03-15,17,male
ZAPPULLA Giuseppe,zappulla giuseppe,Q16561111,2013-03-15,17,male
ZARATTI Filiberto,zaratti filiberto,Q15931676,2013-04-17,17,male
ZARDINI Diego,zardini diego,Q16549651,2013-03-15,17,male
ZOGGIA Davide,zoggia davide,Q3703642,2013-03-15,17,male
ZOLEZZI Alberto,zolezzi alberto,Q16524889,2013-03-15,17,male
