name,name_lc,wikidata,start_date,term,gender
BOSSA Luisa,bossa luisa,Q16574431,2013-03-15,17,female
BOSSI Umberto,bossi umberto,Q47832,2013-03-15,17,male
BRAGA Chiara,braga chiara,Q3667470,2013-03-15,17,female
BRAGANTINI Matteo,bragantini matteo,Q3852082,2016-04-11,17,male
BRAGANTINI Paola,bragantini paola,Q15349372,2013-03-15,17,female
BRAMBILLA Michela Vittoria,brambilla michela vittoria,Q459670,2013-03-15,17,female
BRANDOLIN Giorgio,brandolin giorgio,Q3765313,2013-03-15,17,male
BRATTI Alessandro,bratti alessandro,Q16268211,2013-03-15,17,male
BRESCIA Giuseppe,brescia giuseppe,Q16560662,2013-03-15,17,male
BRESSA Gianclaudio,bressa gianclaudio,Q3762995,2013-03-15,17,male
BRIGNONE Beatrice,brignone beatrice,Q21578717,2015-11-17,17,female
BRUGNEROTTO Marco,brugnerotto marco,Q16575769,2013-03-15,17,male
BRUNETTA Renato,brunetta renato,Q2573947,2013-03-15,17,male
BRUNO BOSSIO Vincenza,bruno bossio vincenza,Q16552217,2013-03-15,17,female
BRUNO Franco,bruno franco,Q3751180,2015-09-29,17,male
BUENO Renata,bueno renata,Q10359276,2015-11-30,17,female
BURTONE Giovanni Mario Salvino,burtone giovanni mario salvino,Q3766909,2013-03-15,17,male
BUSIN Filippo,busin filippo,Q15931668,2013-03-15,17,male
BUSINAROLO Francesca,businarolo francesca,Q15926446,2013-03-15,17,female
BUSTO Mirko,busto mirko,Q16578823,2013-03-15,17,male
CALABRIA Annagrazia,calabria annagrazia,Q3617884,2013-03-15,17,female
CALABRO' Raffaele,calabro' raffaele,Q3929024,2013-11-18,17,male
CAMANI Vanessa,camani vanessa,Q17315601,2013-03-15,17,female
CAMANI Vanessa,camani vanessa,Q17315601,2014-06-25,17,female
CAMPANA Micaela,campana micaela,Q15163307,2013-03-15,17,female
CANCELLERI Azzurra Pia Maria,cancelleri azzurra pia maria,Q16530425,2013-03-15,17,female
CANI Emanuele,cani emanuele,Q15944964,2013-03-15,17,male
CAON Roberto,caon roberto,Q15479302,2016-04-11,17,male
CAPARINI Davide,caparini davide,Q3703513,2013-03-15,17,male
CAPELLI Roberto,capelli roberto,Q15479309,2014-11-19,17,male
CAPEZZONE Daniele,capezzone daniele,Q784785,2015-11-19,17,male
CAPODICASA Angelo,capodicasa angelo,Q3616922,2013-03-15,17,male
CAPONE Salvatore,capone salvatore,Q15585013,2013-03-15,17,male
CAPOZZOLO Sabrina,capozzolo sabrina,Q15041811,2013-03-15,17,female
CARBONE Ernesto,carbone ernesto,Q16554327,2013-03-15,17,male
CARDINALE Daniela,cardinale daniela,Q3701773,2013-03-15,17,female
CARELLA Renzo,carella renzo,Q15465052,2013-03-15,17,male
CARFAGNA Maria Rosaria,carfagna maria rosaria,Q266651,2013-03-15,17,female
CARIELLO Francesco,cariello francesco,Q15838895,2013-03-15,17,male
CARINELLI Paola,carinelli paola,Q5488784,2013-03-15,17,female
CARLONI Anna Maria,carloni anna maria,Q3617747,2014-06-25,17,female
CARNEVALI Elena,carnevali elena,Q15961974,2013-03-15,17,female
CAROCCI Mara,carocci mara,Q16575553,2013-03-15,17,female
CARRA Marco,carra marco,Q3845991,2013-03-15,17,male
CARRESCIA Piergiorgio,carrescia piergiorgio,Q15402984,2013-03-15,17,male
CARROZZA Maria Chiara,carrozza maria chiara,Q12132390,2013-03-15,17,female
CARUSO Mario,caruso mario,Q15144721,2013-12-10,17,male
CASATI Ezio Primo,casati ezio primo,Q15936544,2013-03-15,17,male
CASELLATO Floriana,casellato floriana,Q16556315,2013-03-15,17,female
CASERO Luigi,casero luigi,Q3809258,2013-11-18,17,male
CASO Vincenzo,caso vincenzo,Q16621766,2013-03-15,17,male
CASSANO Franco,cassano franco,Q7001739,2013-03-15,17,male
CASTELLI Laura,castelli laura,Q16571306,2013-03-15,17,female
CASTIELLO Giuseppina,castiello giuseppina,Q3771687,2016-05-18,17,female
CASTIGLIONE Giuseppe,castiglione giuseppe,Q1055165,2013-11-18,17,male
CASTRICONE Antonio,castricone antonio,Q16527437,2013-03-15,17,male
CATALANO Ivan,catalano ivan,Q16566830,2016-10-27,17,male
CATANIA Mario,catania mario,Q1880844,2017-01-26,17,male
CATANOSO GENOESE Francesco Detto Basilio Catanoso,catanoso genoese francesco detto basilio catanoso,Q3635805,2013-03-15,17,male
CAUSI Marco,causi marco,Q3845998,2013-03-15,17,male
CAUSIN Andrea,causin andrea,Q4755010,2014-12-16,17,male
CECCONI Andrea,cecconi andrea,Q16526205,2013-03-15,17,male
